experiment_id,timestamp,phase,model,cv_rmse,cv_rmse_std,n_features,base_experiment,description,notes,oof_path,test_path,training_time_seconds
exp014,2026-05-15T11:21:15,feature_engineering,catboost,30.4541072845459,4.693139963681282,26.0,exp009,CatBoost trained on exp009 features with native geology categories.,"Trained CatBoost on the exp009 DTW and Typewell geology feature set while dropping tw_geology_target_enc so native CatBoost categorical handling does not double-count the aligned geology label. Compared with exp009 LightGBM RMSE 34.5811, exp014 improved by 4.1270 RMSE. This did help, but the OOF predictions are still useful for stacking if their errors are decorrelated from LightGBM/XGBoost.",experiments/oof/oof_catboost_exp014.npy,experiments/test_preds/test_catboost_exp014.npy,4414.548985719681
exp013,2026-05-15T11:27:06,feature_engineering,lightgbm,33.83707427978516,4.705361711606593,27.0,exp009,Tuned LightGBM on the exact exp009 feature matrix.,"Used the exact exp009 feature matrix with no added or removed features, then trained one tuned LightGBM configuration with lower learning rate, 8000 max trees, stronger L1/L2 regularization, smaller leaves, row/feature subsampling, 5-fold GroupKFold by well_id, and native geology categorical features. Test predictions were smoothed and clipped per well. Compared with exp009 RMSE 34.5811, exp013 improved by 0.7440 RMSE. This hyperparameter-only change helps if exp009 was overfitting local DTW/geology noise; it can hurt if the stronger regularization underfits well-specific stratigraphic shifts.",experiments/oof/oof_lightgbm_exp013.npy,experiments/test_preds/test_lightgbm_exp013.npy,4786.119650363922
exp013,2026-05-15T11:27:53,feature_engineering,lightgbm,33.8371,,,,,Tuned LGBM on exp009 features. Improved 0.74 to 33.84.,experiments/oof/oof_lightgbm_exp013.npy,experiments/test_preds/test_lightgbm_exp013.npy,
exp014,2026-05-15T11:27:53,feature_engineering,catboost,30.4541,,,,,"CatBoost on exp009 features (dropped target-enc, used native cat). HUGE: 30.45, -4.13 from exp009. CatBoost dominates here.",experiments/oof/oof_catboost_exp014.npy,experiments/test_preds/test_catboost_exp014.npy,
exp019,2026-05-15T12:25:48,postprocess,catboost+smooth,29.9344,,,,,Per-well savgol window=201 poly=3 on exp014. -0.52 vs exp014.,MISSING,MISSING,
exp020,2026-05-15T12:25:48,stacking,stack_nnls+smooth,29.786,,,,,"NNLS stack of 6 members + savgol(201,3) smoothing. -0.67 vs exp014.",MISSING,MISSING,
exp021,2026-05-15T12:25:48,postprocess,catboost+savgol1001,29.5962,,,,,"exp014 + savgol(1001,3). Wider window beat 201.",MISSING,MISSING,
exp022,2026-05-15T12:25:48,stacking,stack_nnls+savgol1001,29.5476,,,,,"NNLS stack + savgol(1001,3). New leader.",MISSING,MISSING,
exp023,2026-05-15T12:31:10,stacking,lgbm_meta,32.5085,,,,,LightGBM meta-learner on 8 OOFs — overfits on fold1/3. NNLS dominates.,MISSING,MISSING,
exp024,2026-05-15T12:31:10,stacking,nnls+med+savgol,29.5475,,,,,NNLS stack with median(401)+savgol(1001) cascade — only marginally better than exp022.,MISSING,MISSING,
exp025,2026-05-15T13:51:31,feature_engineering,lgbm_delta,12.3291,,,,,Delta target = TVT - last_known_TVT. Add formation cols (ANCC/ASTNU/...). MASSIVE WIN -17.2 vs prior best.,MISSING,MISSING,
exp026,2026-05-15T14:17:24,feature_engineering,lgbm_delta_bwell_ncc,4.1602,,,,,"Delta target + per-formation b_well anchoring + multi-scale NCC. Lateral RMSE 4.16, full 5.55. -7.74 vs exp025.",MISSING,MISSING,
exp029,2026-05-15T14:20:52,stacking,stack_delta_savgol,4.1592,,,,,"NNLS stack exp025+exp026 + savgol(201,2). exp026 dominates with 0.99+ weight.",MISSING,MISSING,
exp016,2026-05-15T14:26:32,feature_engineering,catboost,31.232831954956055,7.961285983088268,41.0,exp011,CatBoost trained on exp011 deeper Typewell geology features.,"Trained CatBoost on the exp011 deeper-geology feature set and dropped tw_geology_target_enc so all aligned and offset geology labels are handled as native CatBoost categorical features. Compared with exp011 LightGBM RMSE 34.8385, exp016 improved by 3.6057 RMSE; compared with exp014 CatBoost RMSE 30.4541, it trailed by 0.7787. The deeper features help if CatBoost can use ordered layer context without overfitting DTW alignment noise; otherwise they add noisy stratigraphic detail.",experiments/oof/oof_catboost_exp016.npy,experiments/test_preds/test_catboost_exp016.npy,3070.7164981365204
exp016,2026-05-15T15:04:33,feature_engineering,catboost_deep_geology,31.2328,,,,,"CatBoost on exp011 deep-geology features (abs TVT target, NOT delta). Worse than exp014.",MISSING,MISSING,
exp030,2026-05-15T17:21:25,feature_engineering,lgbm_delta_extended,9.9193,,,,,exp026 + tda/glag/glead/grm/grs/slope features. WORSE than exp026 (4.16). Extra features net-noisy.,MISSING,MISSING,
exp031,2026-05-15T17:38:29,feature_engineering,catboost_delta_bwell_ncc,3.7125,,,,,CatBoost (GPU) on exp026 feature set. Down from 4.16 → 3.71. -0.45.,MISSING,MISSING,
exp032,2026-05-15T17:43:53,stacking,avg_cb60_lgb40_savgol,3.3115,,,,,"Simple 0.60*exp031 + 0.40*exp026 + per-well savgol(201,2). NEW LEADER.",MISSING,MISSING,
exp028,2026-05-15T17:46:20,feature_engineering,kernel_port_lgb3+cb+ridge+pp,10.4304,,,,,Full 9.956-LB kernel port. Lateral 10.4 — worse than our simpler exp026 (4.16). Useful for stacking diversity.,MISSING,MISSING,
exp033,2026-05-15T18:27:17,feature_engineering,catboost_seedbag3,3.933,,,,,3-seed CatBoost bag on exp026 features. Slightly worse than single-seed exp031.,MISSING,MISSING,
exp036,2026-05-15T18:51:32,feature_engineering,catboost_deep_d10,3.9941,,,,,Deeper CatBoost depth=10 on exp026 features. Slightly worse than depth=8 (3.71).,MISSING,MISSING,
exp038,2026-05-15T19:04:37,feature_engineering,xgboost_delta_bwell_ncc,2.9773,,,,,XGBoost CUDA on exp026 features. BEATS CatBoost (3.71). New single-model leader.,MISSING,MISSING,
exp039,2026-05-15T19:07:38,stacking,3way_xgb_dom+savgol,2.961,,,,,"3-way stack xgb=0.96 cb=0.04 lgb=0 + savgol(301,2). XGB single beats prior stacks.",MISSING,MISSING,
exp040,2026-05-15T19:34:57,feature_engineering,xgboost_seedbag3,3.0548,,,,,3-seed XGB bag. Slightly worse than single seed (2.98). Seed bagging doesnt help here.,MISSING,MISSING,
exp041,2026-05-15T19:36:39,stacking,4way_avg,2.9613,,,,,4-way: 95% xgb + 5% cb + savgol(301). Equivalent to exp039.,MISSING,MISSING,
exp042,2026-05-15T20:08:09,feature_engineering,nn,52.6825,53.2408,73,exp026,PyTorch neural net on exp026 features with delta target.,PyTorch MLP trained on exp026 features and lateral delta target. Lateral RMSE 61.1148 vs exp026 LightGBM lateral 4.1602; non-tree model intended mainly for stacking diversity.,experiments/oof/oof_nn_exp042.npy,experiments/test_preds/test_nn_exp042.npy,1613.111401796341
exp050,2026-05-16T03:23:39-07:00,stacking,grid_top3+savgol+median_cascade,2.9598,,,exp038/031/026,,"top3 weighted (0.95 xgb / 0 / 0.05 cb) + savgol(301,3) + medfilt(101) + savgol(301,2). Hill-climbing/NNLS saturated at exp039 level — gains <0.002. OOF pool exhausted; further wins require new diverse base learners.",experiments/oof/oof_stack_exp050.npy,experiments/test_preds/test_stack_exp050.npy,
exp051,2026-05-16T04:18:21-07:00,model,xgboost_depth6_seed7,2.7546,,,exp026,,"XGB depth=6 mcw=20 subs=0.85 cbt=0.7 lam=2 lr=0.03 seed=7. Single-model BREAKTHROUGH — beats exp038 (2.9773) by 0.22.",experiments/oof/oof_xgboost_exp051.npy,experiments/test_preds/test_xgboost_exp051.npy,437
exp052,2026-05-16T04:18:21-07:00,model,xgboost_depth10_seed11,3.6152,,,exp026,,XGB depth=10 — overfits as expected,,experiments/oof/oof_xgboost_exp052.npy,experiments/test_preds/test_xgboost_exp052.npy,668
exp053,2026-05-16T04:18:21-07:00,model,xgboost_huber,24.4752,,,exp026,,Huber slope=1 too small for target scale — useless,,experiments/oof/oof_xgboost_exp053.npy,experiments/test_preds/test_xgboost_exp053.npy,1225
exp061,2026-05-16T04:18:21-07:00,stacking,exp051_only+savgol+median+savgol,2.7393,,,exp051,,"Hill-climb selected exp051 only. Cascade savgol(301,3) → medfilt(101) → savgol(301,2). FINAL_submission.csv updated.",experiments/oof/oof_stack_exp050.npy,experiments/test_preds/test_stack_exp050.npy,
exp057,2026-05-16T05:20:42-07:00,model,xgboost_depth5_seed101,2.7427,,,exp026,,"XGB depth=5 cbt=0.65 mcw=25 lam=3 lr=0.025 seed=101 — NEW SINGLE LEADER. Improves on exp051 by 0.012",experiments/oof/oof_xgboost_exp057.npy,experiments/test_preds/test_xgboost_exp057.npy,626
exp058,2026-05-16T05:20:42-07:00,model,xgboost_depth7,2.9174,,,exp026,,XGB depth=7 — worse than depth=5/6,,experiments/oof/oof_xgboost_exp058.npy,experiments/test_preds/test_xgboost_exp058.npy,404
exp059,2026-05-16T05:20:42-07:00,model,xgboost_cbt05,2.9521,,,exp026,,cbt=0.5 too aggressive,,experiments/oof/oof_xgboost_exp059.npy,experiments/test_preds/test_xgboost_exp059.npy,530
exp060,2026-05-16T05:20:42-07:00,model,xgboost_subs075,2.7742,,,exp026,,"XGB depth=6 mcw=30 subs=0.75 cbt=0.7 lam=4 — close to exp057",experiments/oof/oof_xgboost_exp060.npy,experiments/test_preds/test_xgboost_exp060.npy,529
exp065,2026-05-16T05:20:42-07:00,stacking,top3_simplex+savgol+median+savgol,2.6976,,,exp057/051/060,,"Grid top-3 simplex (exp057+exp051+exp060) + savgol(201,2) + medfilt(101) + savgol(301,2). FINAL_submission CV 2.6976.",experiments/oof/oof_stack_exp050.npy,experiments/test_preds/test_stack_exp050.npy,
